DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
08-10-1997;00:00:01;0;4343,3;4267,4;4244,1;4363,7
09-10-1997;00:00:01;0;4241,3;4179,9;4129,6;4284
10-10-1997;00:00:01;0;4188,7;4164,6;4134,4;4208,8
13-10-1997;00:00:01;0;4177,3;4225,3;4177,3;4236,7
14-10-1997;00:00:01;0;4247,5;4215,2;4171,5;4247,5
15-10-1997;00:00:01;0;4182,3;4168,6;4139,7;4205,6
16-10-1997;00:00:01;0;4168,2;4149,9;4114,1;4172,1
17-10-1997;00:00:01;0;4098,2;4049,2;4030,3;4103,7
20-10-1997;00:00:01;0;4046,4;4069,3;3980,7;4072,3
21-10-1997;00:00:01;0;4088,8;4172,5;4085,7;4178,7
22-10-1997;00:00:01;0;4203,5;4124,9;4119,2;4235,9
23-10-1997;00:00:01;0;4102,2;3976,4;3927,2;4103,9
24-10-1997;00:00:01;0;4042,1;3981,4;3977;4066,3
27-10-1997;00:00:01;0;3935,7;3871,4;3846,7;3935,7
28-10-1997;00:00:01;0;3669,5;3645,7;3366;3733,5
29-10-1997;00:00:01;0;3797,6;3806,7;3734,3;3841,2
30-10-1997;00:00:01;0;3732,9;3748,9;3632,9;3759,4
31-10-1997;00:00:01;0;3771,5;3753,7;3734,2;3827,5
03-11-1997;00:00:01;0;3802,7;3847,7;3802,3;3877
04-11-1997;00:00:01;0;3869,1;3784,8;3776,4;3869,1
05-11-1997;00:00:01;0;3806,8;3841,4;3806,8;3876,2
06-11-1997;00:00:01;0;3833,9;3813,9;3797,8;3844,6
07-11-1997;00:00:01;0;3775,8;3715,4;3663,8;3775,8
10-11-1997;00:00:01;0;3723,3;3728,4;3722,3;3771,9
11-11-1997;00:00:01;0;3727,9;3734,8;3704,9;3741,3
12-11-1997;00:00:01;0;3700,7;3697,5;3645,8;3710,2
13-11-1997;00:00:01;0;3699,4;3701,9;3679;3726,7
14-11-1997;00:00:01;0;3724,6;3676,7;3673,9;3768,6
17-11-1997;00:00:01;0;3797,9;3816,7;3739,7;3817,5
18-11-1997;00:00:01;0;3826,2;3844,1;3796,8;3860,3
19-11-1997;00:00:01;0;3801;3876,9;3784;3884,1
